tracer_index,tsne1,tsne2,log_density
1.750000000000000000e+02,3.533305358886718750e+01,-3.772896194458007812e+01,8.905926704406738281e+00
1.760000000000000000e+02,3.550601196289062500e+01,-3.784291458129882812e+01,8.906186103820800781e+00
1.770000000000000000e+02,3.625695800781250000e+01,-3.907965087890625000e+01,8.928691864013671875e+00
1.780000000000000000e+02,3.558510589599609375e+01,-3.759015655517578125e+01,8.900904655456542969e+00
1.790000000000000000e+02,3.582732391357421875e+01,-3.819725418090820312e+01,8.908600807189941406e+00
1.800000000000000000e+02,3.546303176879882812e+01,-3.743020248413085938e+01,8.897642135620117188e+00
1.810000000000000000e+02,3.581637573242187500e+01,-3.869545745849609375e+01,8.928709983825683594e+00
1.820000000000000000e+02,3.548787689208984375e+01,-3.801208877563476562e+01,8.913312911987304688e+00
1.830000000000000000e+02,3.548190689086914062e+01,-3.800209045410156250e+01,8.907873153686523438e+00
1.840000000000000000e+02,3.543001937866210938e+01,-3.695823669433593750e+01,8.882029533386230469e+00
1.850000000000000000e+02,3.547692489624023438e+01,-3.778451156616210938e+01,8.905388832092285156e+00
1.860000000000000000e+02,3.469156265258789062e+01,-3.582050323486328125e+01,8.864338874816894531e+00
1.870000000000000000e+02,3.573255157470703125e+01,-3.782396316528320312e+01,8.901081085205078125e+00
1.880000000000000000e+02,3.516183090209960938e+01,-3.780309295654296875e+01,8.907697677612304688e+00
1.890000000000000000e+02,3.558828353881835938e+01,-3.870226669311523438e+01,8.934225082397460938e+00
1.900000000000000000e+02,3.588124084472656250e+01,-3.827746963500976562e+01,8.906280517578125000e+00
1.910000000000000000e+02,3.436528778076171875e+01,-3.527445983886718750e+01,8.853004455566406250e+00
1.920000000000000000e+02,3.518716812133789062e+01,-3.788715362548828125e+01,8.910493850708007812e+00
1.930000000000000000e+02,3.536352920532226562e+01,-3.733279037475585938e+01,8.895952224731445312e+00
1.940000000000000000e+02,3.554241561889648438e+01,-3.855297088623046875e+01,8.927165985107421875e+00
1.950000000000000000e+02,3.501341629028320312e+01,-3.666049575805664062e+01,8.880029678344726562e+00
1.960000000000000000e+02,3.541719436645507812e+01,-3.832074356079101562e+01,8.922161102294921875e+00
1.970000000000000000e+02,3.509860992431640625e+01,-3.754499816894531250e+01,8.903072357177734375e+00
1.980000000000000000e+02,3.491382980346679688e+01,-3.737892532348632812e+01,8.901910781860351562e+00
1.990000000000000000e+02,3.562060928344726562e+01,-3.794562149047851562e+01,8.908069610595703125e+00
2.000000000000000000e+02,3.466576766967773438e+01,-3.609404754638671875e+01,8.871204376220703125e+00
2.010000000000000000e+02,3.524868774414062500e+01,-3.816954803466796875e+01,8.918807029724121094e+00
2.020000000000000000e+02,3.411284255981445312e+01,-3.529437637329101562e+01,8.860990524291992188e+00
2.030000000000000000e+02,3.411425399780273438e+01,-3.569724655151367188e+01,8.873204231262207031e+00
2.040000000000000000e+02,3.516751861572265625e+01,-3.720415878295898438e+01,8.896072387695312500e+00
2.050000000000000000e+02,3.454398345947265625e+01,-3.605155944824218750e+01,8.871548652648925781e+00
2.060000000000000000e+02,3.527885055541992188e+01,-3.713975906372070312e+01,8.891650199890136719e+00
2.070000000000000000e+02,3.463809967041015625e+01,-3.666923522949218750e+01,8.892895698547363281e+00
2.080000000000000000e+02,3.507568740844726562e+01,-3.712685012817382812e+01,8.896370887756347656e+00
2.090000000000000000e+02,3.569444656372070312e+01,-3.871826553344726562e+01,8.931621551513671875e+00
2.100000000000000000e+02,3.429970550537109375e+01,-3.597962570190429688e+01,8.875622749328613281e+00
2.110000000000000000e+02,3.566849136352539062e+01,-3.816493606567382812e+01,8.911657333374023438e+00
2.120000000000000000e+02,3.511632537841796875e+01,-3.731329727172851562e+01,8.899815559387207031e+00
2.130000000000000000e+02,3.497803878784179688e+01,-3.756097412109375000e+01,8.906947135925292969e+00
2.140000000000000000e+02,3.497610092163085938e+01,-3.766315078735351562e+01,8.905074119567871094e+00
2.150000000000000000e+02,3.444457626342773438e+01,-3.643659973144531250e+01,8.886445999145507812e+00
2.160000000000000000e+02,3.527101135253906250e+01,-3.727103424072265625e+01,8.896096229553222656e+00
2.170000000000000000e+02,3.503007125854492188e+01,-3.720883178710937500e+01,8.897671699523925781e+00
2.180000000000000000e+02,3.538830184936523438e+01,-3.819478225708007812e+01,8.915601730346679688e+00
2.190000000000000000e+02,3.476453018188476562e+01,-3.683090972900390625e+01,8.894351959228515625e+00
2.200000000000000000e+02,3.422900390625000000e+01,-3.613465499877929688e+01,8.881961822509765625e+00
