tracer_index,tsne1,tsne2,log_density
1.440000000000000000e+02,1.761183261871337891e+00,-6.401039886474609375e+01,8.950927734375000000e+00
1.450000000000000000e+02,1.212419867515563965e+00,-6.358643341064453125e+01,8.955118179321289062e+00
1.460000000000000000e+02,9.671846032142639160e-01,-6.319583129882812500e+01,8.956886291503906250e+00
1.470000000000000000e+02,1.074428558349609375e+00,-6.338806152343750000e+01,8.952232360839843750e+00
1.480000000000000000e+02,1.662748456001281738e+00,-6.327480697631835938e+01,8.951676368713378906e+00
1.490000000000000000e+02,2.806709110736846924e-01,-6.229113006591796875e+01,8.922562599182128906e+00
1.500000000000000000e+02,4.091063737869262695e-01,-6.167181396484375000e+01,8.924343109130859375e+00
1.510000000000000000e+02,-1.016244292259216309e+00,-6.103209304809570312e+01,8.904516220092773438e+00
1.520000000000000000e+02,1.100243806838989258e+00,-6.337670516967773438e+01,8.939906120300292969e+00
1.530000000000000000e+02,1.972676068544387817e-01,-6.218799209594726562e+01,8.927409172058105469e+00
1.540000000000000000e+02,1.404409646987915039e+00,-6.366185379028320312e+01,8.950074195861816406e+00
1.550000000000000000e+02,3.993969857692718506e-01,-6.164992141723632812e+01,8.927956581115722656e+00
1.560000000000000000e+02,5.263476967811584473e-01,-6.257606887817382812e+01,8.938098907470703125e+00
1.570000000000000000e+02,-3.192498981952667236e-01,-6.159449768066406250e+01,8.954847335815429688e+00
1.580000000000000000e+02,1.405947685241699219e+00,-6.353576660156250000e+01,8.914236068725585938e+00
1.590000000000000000e+02,5.679451227188110352e-01,-6.259929656982421875e+01,8.917405128479003906e+00
1.600000000000000000e+02,-2.599139213562011719e-01,-6.165242767333984375e+01,8.934213638305664062e+00
1.610000000000000000e+02,1.162074446678161621e+00,-6.339073181152343750e+01,8.916890144348144531e+00
1.620000000000000000e+02,-1.090607762336730957e+00,-6.093978118896484375e+01,8.919321060180664062e+00
1.630000000000000000e+02,8.392897248268127441e-01,-6.296763992309570312e+01,8.956220626831054688e+00
1.640000000000000000e+02,1.608438372611999512e+00,-6.379891586303710938e+01,8.944775581359863281e+00
1.650000000000000000e+02,1.950808614492416382e-01,-6.218346405029296875e+01,8.943428039550781250e+00
1.660000000000000000e+02,6.214489415287971497e-02,-6.203018188476562500e+01,8.906433105468750000e+00
